title,view,timeline,youtuber,genre,thumbnail
"[전참시] 힘지민 ㄹㅇ AI 아닌가요? 잘 먹고 운동도 웃으면서 중량침,,🤔 에스파(aespa) 쉬는 날 일상💖ㅣ#에스파 #카리나 MBC220709방송",3710000,3개월 전,엠뚜루마뚜루 : MBC 공식 종합 채널,운동,https://i.ytimg.com/vi/MRaAcIQOIIw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD1mAU-oVPsGL4e-L8ix8xEZHi7cA
호랑이 굴에 들어가도 운동만 하면 산다...,3520000,7개월 전,김종국 GYM JONG KOOK,운동,https://i.ytimg.com/vi/24k7fsKLUB4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMD67WCgU9SqhHyyrcV7fAnKVKgw
[SUB] 수영하기 전 언니에게 준비 운동 배우는 25개월 루다! 🏊‍♀️,3100000,6개월 전,진정부부,운동,https://i.ytimg.com/vi/2QUFrSD8z5w/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgr1bkCMVa7KqM9_A-LxVRUroD2Q
골다공증 환자의 인생을 바꾼 '이 운동' 꼭 하세요!,3000000,10개월 전,내 몸의 호르몬 밸런스,운동,https://i.ytimg.com/vi/2bWqz7eFd9U/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB57tUBukIoz2T02xqxg2q3AYr00A
무한으로 즐기는 상체운동..ㅎ (With. 조현),2950000,5개월 전,피지컬갤러리,운동,https://i.ytimg.com/vi/pSgUu_nLWMI/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAiitXy7GDCcMK3dwsIqDOXw2_9jg
복근 운동 7분 안에 끝내기 (2주 안에 식스팩 만들기!) | 6 PACK ABS WORKOUT (Make a six-pack in 2 weeks!),2710000,4개월 전,재호 - Fitness,운동,https://i.ytimg.com/vi/1iqzlhL95cI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-KMKKZWKwfo5-4D1z51jY1h0JKQ
"전소미, 모모의 복근을 만들어준 바로 그 운동! (일주일만 함께해요🔥)",2630000,11개월 전,이지은 다이어트 Jiny diet,운동,https://i.ytimg.com/vi/orpoYsCXlKA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBoiR7-udonvlVEbUVuITQQPXeZXw
[#유퀴즈온더블럭] ※디스크로 힘든 분들 들어오세요※ 예약 대기만 2년! S대 정선근 교수님이 알려주시는 척추에 좋은 운동 | #지금꼭볼동영상,2600000,4개월 전,디글 :Diggle,운동,https://i.ytimg.com/vi/PUDvv9BiUG8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6EG6IOkHg5Sr7-hIQPuu3kodMMA
"다이어트할때 하는 모든 운동들 l 여자 헬스장 루틴(종목,세트수,쉬는시간)",2470000,4개월 전,[이밍TV] iming TV,운동,https://i.ytimg.com/vi/03vWaIXnm7c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBCLhpE-hmgJrkskUnj8vLD5PTG0Q
"무릎아픈 3인, 3주간 근육운동 결과는? (KBS 20211103 방송)",2460000,11개월 전,KBS 생로병사의 비밀,운동,https://i.ytimg.com/vi/YZic9wEnqVg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBE8M57wHNREjpuOQn3tTcLYs4AgA
"유독 뱃살만 많이 찐 사람을 위한 걷기 대신 집에서 하는 뱃살 빨리 빼는 운동 [올챙이배 빼는 방법, 내장지방 빼기, 전신 운동, 중년운동, 줌바, 플랭크]",2470000,6개월 전,건전지 - 건강을 전하는 지식,운동,https://i.ytimg.com/vi/ubAju0I_QK8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDfrHZoqVsUoQUJqLj3blVIO2Pm6g
"토크는 고 반복, 운동은 저 반복… (Feat. 유재석, 지석진)",2450000,1개월 전,김종국 GYM JONG KOOK,운동,https://i.ytimg.com/vi/8rX2UfWCtfA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8t3t4yZqrfLCwg8G5dJaBR9Slsg
과학적으로 팔뚝(전완근) 가장 빠르게 키워주는 운동 1위는!?,2290000,4개월 전,보통사람을 위한 운동채널,운동,https://i.ytimg.com/vi/6Nysp0sCR88/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjkZH-aRaIwl0xT35NvNxeEZk6rg
몸매 하나는 끝내줬던 최악 불륜녀 운동선수 S 양이 광고 10편 찍으며 잘 나갔던 이유,2230000,9개월 전,짜르위키,운동,https://i.ytimg.com/vi/5NS-De2HxVk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA4eemK0BOeYuo0NAp9dwsQ3Pf_pg
"60세 형님의 운동, 식단, 마인드 비법 대공개｜60세 동안몸짱",2180000,5개월 전,백도씨,운동,https://i.ytimg.com/vi/bBGPqog609c/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEWBaZlf8l6CSKCKBEHmBlOrRkgw
스쿼트 자세 교정운동 4가지 / 허리좀 그만펴세요!,2120000,8개월 전,피카토 Phycato,운동,https://i.ytimg.com/vi/a4mcRL99pU0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAP7QHuy_G52Fc8LbI72ELTaon9_Q
50대부터 이 동작을 제발 하세요! 이것만큼 좋은 운동 또 없습니다,1990000,6개월 전,텐바디,운동,https://i.ytimg.com/vi/djDK9YoD1eg/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHl9AujgnLS4OlNbLZqL2zPRlISg
생강 이렇게만 먹으면 운동 안해도 내장지방 싹 녹여줍니다!! 내장지방 확실하게 빼는 방법!!,1980000,11개월 전,조여사전성시대,운동,https://i.ytimg.com/vi/i4FMt-8mCoY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7P8Y4WwrqOtemDf8tWO1pi-xKvg
