title,view,timeline,youtuber,genre,thumbnail
Louis Vuitton Spring-Summer 2023 Fashion Show | LOUIS VUITTON,10480000,스트리밍 시간: 1개월 전,Louis Vuitton,패션,https://i.ytimg.com/vi/Xn5qX2qbPdk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdJpjoQG3tHunELUi_P-y6Z3CqFw
Exquisite Gucci,7600000,스트리밍 시간: 8개월 전,GUCCI,패션,https://i.ytimg.com/vi/SBACvcRB3es/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwIfjYuQLS9OaEnQRLlt_75HPrWQ
Balenciaga 360° Show Winter 22 Collection,5550000,스트리밍 시간: 8개월 전,Balenciaga,패션,https://i.ytimg.com/vi/NTXbCdS5hdY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBm2E0QVmyoyMWm8x6kFZs0o9GazQ
The Gucci Twinsburg Fashion Show,4250000,스트리밍 시간: 1개월 전,GUCCI,패션,https://i.ytimg.com/vi/XhROrqqJpuI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlGfy1gwPPoA40ntISrSczSR9yAw
Cruise 2023 Fashion Show | LOUIS VUITTON,3970000,스트리밍 시간: 5개월 전,Louis Vuitton,패션,https://i.ytimg.com/vi/qu3fySrXLpY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNVweKVSmAfBZf5-ZRzB-UwD8stA
Dior Fall 2022 Show,3960000,스트리밍 시간: 6개월 전,Christian Dior,패션,https://i.ytimg.com/vi/hTU4_-iWJWQ/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC5-sHWi6eJJ0hpYL93F_pTbveETQ
Miuccia Prada and Raf Simons present Prada FW22 Womenswear Collection,3910000,스트리밍 시간: 8개월 전,Prada,패션,https://i.ytimg.com/vi/ksvXnpnmYOc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD2c35RE09m9tx6d-qvJQ0LR_asrA
[ENG]※안구주의※ 테니스 코트 위 패션 테러리스트 5인,3700000,9개월 전,윔블맨 WIMBLEMAN,패션,https://i.ytimg.com/vi/bv8L-71zhfU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8Ie0-zExtX4tleEdNwzu48kkyPg
"50,60,70 세 이후 패션. 런던의 우아한 시대에 옷을 입는 방법",3490000,3개월 전,Natasha Faterina - street fashion in London.,패션,https://i.ytimg.com/vi/P8phrtnH8_s/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEzWkPx2kXS4YG57q0m-OWQN7fwA
Catwalk Battle 걸어가며 고르는 옷으로 변신?! 제 점수는요! 패션배틀이다! 랄라게임,3320000,11개월 전,랄라TV,패션,https://i.ytimg.com/vi/sxVaYSH2F8Y/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzQn4Dx2NaC8E1DUUZqQYmQ998cQ
The Dior Spring-Summer 2023 Show,3090000,스트리밍 시간: 1개월 전,Christian Dior,패션,https://i.ytimg.com/vi/DsZhTIwJV5E/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAvZm_2VpcTg25fbNN8lMFthwK-HQ
Versace Spring-Summer 2023 Women’s | Fashion Show | Versace,2750000,스트리밍 시간: 1개월 전,Versace,패션,https://i.ytimg.com/vi/hoKDrFyQDy0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBxPjldmHUHcXffdrxlJ1YSipAYvA
옷을 꼭 입어보고 사야하는 이유ㅋㅋㅋㅋㅋㅋㅋㅋ[구독자패평 겨울편],2670000,11개월 전,혜안,패션,https://i.ytimg.com/vi/mRzrcF99yrU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8DFJDskJOSEehmpxiq56Wey163w
CHANEL Fashion Show vlog,2590000,11일 전,Jennierubyjane Official,패션,https://i.ytimg.com/vi/JyBd-qPKqpU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_msQCwLQvZuVmKjCUnZP0pBBecQ
런닝맨패션지적4,2490000,11개월 전,런닝맨 - 스브스 공식 채널,패션,https://i.ytimg.com/vi/0xBu251omcw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1oFKgjs44qAYL3mF13MiQYSsobA
SUB)4K 비행기 승무원st 스커트 패션 룩북 | 오피스룩 | cabin crew uniform office LOOKBOOK korean | work fashion,2260000,6개월 전,Minjeong Jeong,패션,https://i.ytimg.com/vi/kaDB0MlJvV0/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDAA0e0PWsQbdLYWuY9GnSlX6VS2w
[#갓구운클립] 77사이즈 입는 분을 44까지 보이게 하는 게 저희 일이죠^^ 힙한 댄서에서 한국 최초✨ D올 디자이너가 된 임세아 자기님 | #유퀴즈온더블럭,2240000,6개월 전,tvN D ENT,패션,https://i.ytimg.com/vi/uTM9rnJ_B5I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAOsbNWegLRSZSATEA8gLzzt9dpg
(4K 세로) 간호사 코스프레 + 가터벨트 스타킹 촬영 / 유니폼 코스튬 패션 룩북 직캠 / Nurse Cosplay & Stockings Fashion Photo Session,2110000,7개월 전,뒤태미인 이블린 Evelyn,패션,https://i.ytimg.com/vi/fCgrOwcb5b8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFamGV7UoGNAFEblY0lLgOv5OCIw
