title,view,timeline,youtuber,genre,thumbnail
Mukbang Big Bottle Candy drink 보틀 캔디 젤리 먹방 DONA 도나,530000000,10개월 전,DONA 도나,먹방,https://i.ytimg.com/vi/MWsHf6fHzTE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCPDfMhh-kLlMzi9ANICwyxGalgug
Red VS Blue Food Dessert Mukbang 빨간색 파란색 디저트 먹방 DONA 도나,210000000,6개월 전,DONA 도나,먹방,https://i.ytimg.com/vi/wpJYpknITk4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNPVTwyNt57qJWdu7vpU1Zw43Lfg
Big Food VS Small Food Challenge 대왕 음식 챌린지 대왕 눈알젤리 먹방 DONA 도나,110000000,8개월 전,DONA 도나,먹방,https://i.ytimg.com/vi/HBRecULSEbk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDuj9RQMCrr3tWGYjgvbDBlm2Lgcw
ASMR MUKBANG| 직접 만든 치토스 양념치킨 치즈스틱 핫도그 짜파게티 먹방 & 레시피 FRIED CHICKEN AND BLACK BEAN NOODLES EATING,98220000,11개월 전,설기양SULGI,먹방,https://i.ytimg.com/vi/HQsswovXtPU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDosJkkWMem8p_NIw7lzpXWpcho3A
Mukbang Jello Shooter race 틱톡 챌린지 먹방 TikTok Challenge compilation by Hubabu,36820000,5개월 전,HUBABU,먹방,https://i.ytimg.com/vi/_l29Ec9nkZg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCw6b1VKwDp8Foi4di3lMRcJY2hFw
TikTok Challenge ASMR Drink 틱톡 챌린지 먹방 compilation by Hubabu,26380000,4개월 전,HUBABU,먹방,https://i.ytimg.com/vi/yAm97lYJfjQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA5ZJyDBiRxkziMFZ8b-xXtMEXmxQ
ASMR MUKBANG 직접 만든 양념 치킨먹방! 스테이크 짜파게티 레시피 & 먹방 FRIED CHICKEN AND BLACK BEAN NOODLES EATING SOUND!,25900000,5개월 전,GONGSAM TABLE 이공삼,먹방,https://i.ytimg.com/vi/vXp3IzESmnw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDU_0g5qavqWuxagfeb7usg8a7smQ
"리얼먹방▶ 쭈곱새(쭈꾸미,새우,곱창볶음 )&소주☆디저트(?)는 볶음밥ㅣ Spicy Stir Fry Octopus, ShrimpㅣREAL SOUNDㅣASMR MUKBANGㅣ",22140000,6개월 전,[햄지]Hamzy,먹방,https://i.ytimg.com/vi/fEbz5zo5u9s/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCpqVmt0iSSh_MCqMGdYdAXcCcZ2w
ASMR MUKBANG| 수박 디저트 아이스크림 먹는 숟가락 마카롱 국수 젤리 먹방 & 레시피 DESSERT ICE CREAM MACARONS EATING,16850000,4개월 전,설기양SULGI,먹방,https://i.ytimg.com/vi/FUk7Awc31Jo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAyq4znVY8eV0-ZCAWFrm0W8wTKoQ
"리얼먹방:) 집밥 ★청국장,메추리알장조림,갈치구이,알타리김치,비엔나소세지,김ㅣKorean Home MealㅣREAL SOUNDㅣASMR MUKBANGㅣ",16270000,9개월 전,[햄지]Hamzy,먹방,https://i.ytimg.com/vi/sabYcBcR5WI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbYExnyllNUPfYF3_s967UPGTCHg
Korean Convenience Store Food Mukbang 하이유의 편의점 음식 먹방 모음! 컵라면 도시락 삼각김밥 디저트 REAL SOUND | HIU 하이유,15650000,2개월 전,HIU 하이유,먹방,https://i.ytimg.com/vi/fqsqZnymE3w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjqgwMdA1VCXeBjlOwj4jEPP9ViQ
ASMR MUKBANG| 직접 만든 불닭볶음면 불닭쌈 먹방 & 레시피 FIRE NOODLES EATING,15370000,8개월 전,설기양SULGI,먹방,https://i.ytimg.com/vi/I1LdEifz-z4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCeQ5FojAVlUPoU1y1WqE32dbiKZw
ASMR MUKBANG| 편의점 직접 만든 불닭 떡볶이 치킨 김밥 디저트 먹방 & 레시피 FRIED CHICKEN AND Tteokbokki EATING,14990000,5개월 전,설기양SULGI,먹방,https://i.ytimg.com/vi/qR0YsrplPFA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAj7XsqoZo3-To9Xl-D5QRInpNcgQ
MUKBANG 하이유의 대왕 통치즈 치킨 스팸 신라면 볶음면 먹방! Giant Size Cheese FRIED CHICKEN AND FIRE NOODLES | HIU 하이유,14330000,11개월 전,HIU 하이유,먹방,https://i.ytimg.com/vi/JcEWHEJL38c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA2ayaRal-2yn0CAHhhI2CSfI8-sQ
ASMR MUKBANG| 직접 만든 불닭볶음면 치즈 소세지 먹방 & 레시피 FRIED SAUSAGE EATING,13040000,11개월 전,설기양SULGI,먹방,https://i.ytimg.com/vi/qtvht4yTirg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC26bN99uwWg-odF8-FHg6Cp_fFeA
ASMR MUKBANG 직접 만든 양념 치킨먹방! 스테이크 짜파게티 레시피 & 먹방 FRIED CHICKEN AND BLACK BEAN NOODLES EATING SOUND!,12450000,6개월 전,GONGSAM TABLE 이공삼,먹방,https://i.ytimg.com/vi/KTJWJJkJJGM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBIsSM05nopHnSbu6Qd0sRJ1dAcEA
쌍둥이언니와 불닭볶음탕면 10봉지 10분컷 자매 먹방🔥ㅣ라면 먹방 Eat 10 Spicy Ramen MUKBANG,11680000,8개월 전,[Nareum_TV] 나름TV,먹방,https://i.ytimg.com/vi/QGEy_0E54xg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCU7cwbsmRUaFTFB9_gFubaYHVbag
