title,view,timeline,youtuber,genre,thumbnail
쏟아지는 폭우 우중 캠핑 . 빗소리 . 캠핑 브이로그 . 솔로캠핑 .,10420000,4개월 전,아야캠핑 AYACAMPING,브이로그,https://i.ytimg.com/vi/jWyxYBdLA6I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDe-whvx0XLDvj_RExUDwdC3BpgzA
9년의 학교생활을 마무리하는 고등학교 자퇴 vlog | -학교갈준비&친구들의 서프라이즈,7370000,11개월 전,아린 wested_arin,브이로그,https://i.ytimg.com/vi/fey_zwkyADQ/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXDubC39vag4-BDEsyq8pf5fqpWA
예신 이해리와 프라이빗 웨딩플래너,3820000,5개월 전,걍밍경,브이로그,https://i.ytimg.com/vi/q79UYyjK9Bg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB6Q-AiM2vj8UQyrIm85ryXwFmFqQ
10분간의 휴식 | 디저트 만드는 브이로그☕️,3380000,6개월 전,내복곰 Nebokgom,브이로그,https://i.ytimg.com/vi/XOA5FLzUAzA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7HDvVrVgofgGEESempH2sGuFljg
🌌🌌A Cup of Galaxy🌌🌌 🎨Gallery Cafe🎨 cafe vlog / ASMR 【4K】 카페 브이로그 카페 알바,3280000,7개월 전,솔솔 SOLSOL,브이로그,https://i.ytimg.com/vi/D-Q5woOxRTE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTFxDJ2SWQsyNkNtiU3OgjNeqqEw
경주로 모여…!!😆“찐친 완전체” 4시간반 걸려 온돌방 호텔에 도착했따…!ㅣ찐친경주 1화,3190000,9개월 전,LeoJ Makeup,브이로그,https://i.ytimg.com/vi/9iybxNbWkj4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8b0M_fceCqbcPefAlxWf2AiY-lw
SUB)편의점에서 먹고싶은거 싹 털어서 먹방 브이로그!🍜🍢🥟치즈불닭 참치마요 떡갈비 만두 토스트 피자 디저트까지 꿀조합 Convenience Store Mukbang Vlog,2860000,7개월 전,문복희 Eat with Boki,브이로그,https://i.ytimg.com/vi/_GbeBheEGNY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9rAuaUKp8zWmUKP10jptiASnWiQ
샤넬 패션쇼 브이로그,2820000,3주 전,Jennierubyjane Official,브이로그,https://i.ytimg.com/vi/JyBd-qPKqpU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_msQCwLQvZuVmKjCUnZP0pBBecQ
"혼저옵서예~🍊""찐친 완전체"" 제주도에서 입 터져버렸따…!!!ㅣ찐친제주 1화",2700000,5개월 전,LeoJ Makeup,브이로그,https://i.ytimg.com/vi/F0nFkt5l4Qg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAavP7HYzROGxSFF2OywPEDe7f2dw
은빈이 셀프캠은 그저... 빛💜 #우영우일지 EP.1 (feat. 세트장 투어) [Eng Sub],2620000,4개월 전,나무엑터스 NAMOOACTORS Official,브이로그,https://i.ytimg.com/vi/-meLpcPIA4I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoYIWi8cifvUmU1Ns6HgW3cHsybg
"안본사이에…?🙄 “찐친 완전체""에게 래호재희의 신메뉴 대.공.개 하기 (+찐친여행 스포)",2520000,11개월 전,LeoJ Makeup,브이로그,https://i.ytimg.com/vi/I7I1LScjNsw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDp54VNgVh-8YFZpbK16DdGLvSGkw
#EVENT [광야로 걸어가(KWANGYA)] Epilogue. 커플 브이로그 (SUB),2490000,3개월 전,KB국민은행,브이로그,https://i.ytimg.com/vi/PmWfRvBTz40/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9Y38lgWtCRBxrV4GmEKXGjJFVcQ
영국 상류층식 영어 발음 오지는 11살 북한 유튜버 정체 / 스브스뉴스,2460000,4개월 전,스브스뉴스 SUBUSUNEWS,브이로그,https://i.ytimg.com/vi/LSnG0EP6Mns/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSJldNuwrAJYE68FkwXJbBvSicUg
다시 전교 1등 도전하는 브이로그 [고2 이과],2440000,10개월 전,공부 하나도 안 했어,브이로그,https://i.ytimg.com/vi/vGf6toExRnc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdeW_eYslHVwm7NpHP19Dw9VtWkw
거짓으로 얼룩진 밤…🌙 광란의 풀빌라 그리고 경주월드 까아쥐…!!ㅣ경주여행 2,2390000,9개월 전,LeoJ Makeup,브이로그,https://i.ytimg.com/vi/Lz6xGpkC5SQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkSiPMrsKpYQ4JAdP9SJqbKFAZjg
Tamburins 캠페인 촬영 브이로그,2180000,1개월 전,Jennierubyjane Official,브이로그,https://i.ytimg.com/vi/XDhsibRT9rU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBYXxc_HGpMN9jAe2IYPhvV6Y0fg
암환자 브이로그 | 셀프 암밍아웃은 힘들어💦 | 뼈전이 | 20대 암환자 | 4기 암환자 | 희귀암 | 투병 브이로그,2100000,3개월 전,유병장수girl,브이로그,https://i.ytimg.com/vi/2bo6lw-v6ys/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwBbO-Cp_H8esmWDLFrZzfM3q-vg
[sub] 🌈🫧비주얼과 맛까지 사로잡은 알록이들🫧🌈 / 카페 브이로그 / 카페알바 / 음료제조 / cafe vlog / asmr / no bgm / cafe,2020000,3개월 전,설잉 Seoling,브이로그,https://i.ytimg.com/vi/Fn1iodMjj38/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUFFe4sE4dyZmn_uiPzD7gBgPXZA
