title,view,timeline,youtuber,genre,thumbnail
쏟아지는 폭우 우중 캠핑 . 빗소리 . 캠핑 브이로그 . 솔로캠핑 .,10520000,5개월 전,아야캠핑 AYACAMPING,브이로그,https://i.ytimg.com/vi/jWyxYBdLA6I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDe-whvx0XLDvj_RExUDwdC3BpgzA
RM ‘All Day (with 김남준)’ Part 1,4890000,8일 전,BANGTANTV,브이로그,https://i.ytimg.com/vi/2xTx04wez0w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBqnSZsrCJkl4U0neNQmPA9l5EWAQ
예신 이해리와 프라이빗 웨딩플래너,3880000,6개월 전,걍밍경,브이로그,https://i.ytimg.com/vi/q79UYyjK9Bg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB6Q-AiM2vj8UQyrIm85ryXwFmFqQ
10분간의 휴식 | 디저트 만드는 브이로그☕️,3670000,7개월 전,내복곰 Nebokgom,브이로그,https://i.ytimg.com/vi/XOA5FLzUAzA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7HDvVrVgofgGEESempH2sGuFljg
"SNL 코리아 시즌3 | 이은지, 미미, 엄지윤 편 하이라이트 | MZ오피스 | 쿠팡플레이 | 쿠팡",3620000,3주 전,쿠팡플레이 Coupang Play,브이로그,https://i.ytimg.com/vi/MpXSUvq9tbE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCmeQA98wcbYZXloGC_q53S09VHOg
🌌🌌A Cup of Galaxy🌌🌌 🎨Gallery Cafe🎨 cafe vlog / ASMR 【4K】 카페 브이로그 카페 알바,3360000,8개월 전,솔솔 SOLSOL,브이로그,https://i.ytimg.com/vi/D-Q5woOxRTE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTFxDJ2SWQsyNkNtiU3OgjNeqqEw
경주로 모여…!!😆“찐친 완전체” 4시간반 걸려 온돌방 호텔에 도착했따…!ㅣ찐친경주 1화,3230000,10개월 전,LeoJ Makeup,브이로그,https://i.ytimg.com/vi/9iybxNbWkj4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8b0M_fceCqbcPefAlxWf2AiY-lw
샤넬 패션쇼 브이로그,3020000,1개월 전,Jennierubyjane Official,브이로그,https://i.ytimg.com/vi/JyBd-qPKqpU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_msQCwLQvZuVmKjCUnZP0pBBecQ
SUB)편의점에서 먹고싶은거 싹 털어서 먹방 브이로그!🍜🍢🥟치즈불닭 참치마요 떡갈비 만두 토스트 피자 디저트까지 꿀조합 Convenience Store Mukbang Vlog,2920000,8개월 전,문복희 Eat with Boki,브이로그,https://i.ytimg.com/vi/_GbeBheEGNY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9rAuaUKp8zWmUKP10jptiASnWiQ
"혼저옵서예~🍊""찐친 완전체"" 제주도에서 입 터져버렸따…!!!ㅣ찐친제주 1화",2750000,6개월 전,LeoJ Makeup,브이로그,https://i.ytimg.com/vi/F0nFkt5l4Qg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAavP7HYzROGxSFF2OywPEDe7f2dw
영국 상류층식 영어 발음 오지는 11살 북한 유튜버 정체 / 스브스뉴스,2630000,5개월 전,스브스뉴스 SUBUSUNEWS,브이로그,https://i.ytimg.com/vi/LSnG0EP6Mns/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSJldNuwrAJYE68FkwXJbBvSicUg
다시 전교 1등 도전하는 브이로그 [고2 이과],2540000,11개월 전,공부 하나도 안 했어,브이로그,https://i.ytimg.com/vi/vGf6toExRnc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdeW_eYslHVwm7NpHP19Dw9VtWkw
#EVENT [광야로 걸어가(KWANGYA)] Epilogue. 커플 브이로그 (SUB),2490000,4개월 전,KB국민은행,브이로그,https://i.ytimg.com/vi/PmWfRvBTz40/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9Y38lgWtCRBxrV4GmEKXGjJFVcQ
[sub] 🌈🫧비주얼과 맛까지 사로잡은 알록이들🫧🌈 / 카페 브이로그 / 카페알바 / 음료제조 / cafe vlog / asmr / no bgm / cafe,2450000,4개월 전,설잉 Seoling,브이로그,https://i.ytimg.com/vi/Fn1iodMjj38/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUFFe4sE4dyZmn_uiPzD7gBgPXZA
거짓으로 얼룩진 밤…🌙 광란의 풀빌라 그리고 경주월드 까아쥐…!!ㅣ경주여행 2,2420000,10개월 전,LeoJ Makeup,브이로그,https://i.ytimg.com/vi/Lz6xGpkC5SQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkSiPMrsKpYQ4JAdP9SJqbKFAZjg
Tamburins 캠페인 촬영 브이로그,2220000,2개월 전,Jennierubyjane Official,브이로그,https://i.ytimg.com/vi/XDhsibRT9rU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBYXxc_HGpMN9jAe2IYPhvV6Y0fg
암환자 브이로그 | 셀프 암밍아웃은 힘들어💦 | 뼈전이 | 20대 암환자 | 4기 암환자 | 희귀암 | 투병 브이로그,2120000,4개월 전,유병장수girl,브이로그,https://i.ytimg.com/vi/2bo6lw-v6ys/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwBbO-Cp_H8esmWDLFrZzfM3q-vg
[FIM-LOG] 카즈하 브이로그 #2 l 느릿느릿 조금씩 차곡차곡 기록한 즈하의 일상🍩📹🌿,1990000,5개월 전,LE SSERAFIM,브이로그,https://i.ytimg.com/vi/46-Ueij5Q5k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLApWs2NxRO0bO7MCbv2tQDW6UCUPg
"(4K)호텔에서 같이 하루 보내기 브이로그!🧖🏻‍♀️(겨울에 비키니 입고 씨메르, 인천 네스트 호텔, 룸서비스 짬뽕)/ STAYCATION VLOG 侶行 Viaje Voyage",1920000,9개월 전,꽃빵 TV GGotBBang TV,브이로그,https://i.ytimg.com/vi/W7_nPKIvNPI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDuZUFLHVc-ANX1eKG5oa5tRVJDEQ
동분서주 강민경 브이로그,1870000,1개월 전,걍밍경,브이로그,https://i.ytimg.com/vi/tsL2MDJlS7E/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWaVG9-sEFmUDMN-M5D8RFwE_1sQ
"-7kg 다이어트 하고 싶어지는 브이로그ㅣ공복운동, 홈짐소개, 맛도리식단ㅣ달콤로그🌷",1820000,4개월 전,달콤로그,브이로그,https://i.ytimg.com/vi/02d52yCN12M/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbKjtPa9JFzp2_5pX-lnXjD0Zr7g
[Vlog] 제이와 선우의 졸업 브이로그🎓 - ENHYPEN (엔하이픈),1790000,8개월 전,ENHYPEN,브이로그,https://i.ytimg.com/vi/QVQoJ9X2h08/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqbcZ7fGLOCno1_y_oJNb78NyYSQ
대학생 영어 과외 브이로그 ㅣ과외 꿀팁 대방출✨ | 모르는 문제 나왔을 때 ㅣ갑자기 화장실 가고 싶을 때ㅣ학생 부모님이 먹을 거 주실 때,1790000,6개월 전,사내뷰공업 beautyfool,브이로그,https://i.ytimg.com/vi/rpi8l4wBNN0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDz1j8sVQs6ZFdGhlxhIULYHgksQ
"[복학생 vlog] 일진 고딩 과외 브이로그 (자소서 스터디 꿀팁, 인턴십 결과발표, 미라클 모닝, 삼각관계 해결법, 일진 기선제압)",1770000,11개월 전,빠더너스 BDNS,브이로그,https://i.ytimg.com/vi/tzS69QJV4w4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZrkdX0X_zljXbM6zpO5Sf2xygiA
"Sub)💖🧋이 집 음료만들기 맛집이네🧋💖,카페브이로그,음료제조영상,ASMR,최블리,팔공티,cafe vlog",1750000,2개월 전,최블리choively,브이로그,https://i.ytimg.com/vi/kIAR6O8YO-8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDEgLByi3cyD8Uwnwp60vLmF5XznQ
[FIM-LOG] 채원이의 브이로그 l 바쁘다 바빠 부지런히 움직이는 채채 🏃🏻‍♀️🎼,1680000,6개월 전,LE SSERAFIM,브이로그,https://i.ytimg.com/vi/GbSE2_pkp6Y/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbbOJ6ANu-zWXy8OcFcN2qDElptg
띠예의 초등학교 마지막 브이로그 (설참💓),1640000,11개월 전,띠예,브이로그,https://i.ytimg.com/vi/M6iaiOKNaVA/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_g6AArgIigIMCAAQARhlIFQoSjAP&rs=AOn4CLDIB9pv8-H5ixix7u60wIBCY1sEDg
[sub] 🌈🏄‍♂️에이드야 여름을 부탁해🏄‍♀️🌈 / 카페 브이로그 / 음료제조 / 카페알바 / cafe vlog / asmr / no bgm / cafe,1610000,6개월 전,설잉 Seoling,브이로그,https://i.ytimg.com/vi/hFQEECkTQjc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMM1MfE_LAsGGsWztJSPwjca-pgA
[sub] ♥️🥫캔 음료가 이렇게 예쁘다구❔🥫♥️ / 카페 브이로그 / 카페알바 / 음료제조 / cafe vlog / asmr / cafe,1570000,7개월 전,설잉 Seoling,브이로그,https://i.ytimg.com/vi/vEZRcAyTAjQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYVngn5fyjsRcYuIG_NnwDTN27jQ
끊임없이 음식이 나오는 한국 귀국 브이로그,1560000,4개월 전,곽튜브KWAKTUBE,브이로그,https://i.ytimg.com/vi/1uPGABWX9BE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcnAnDSSL276oJYpiI9NzULncSzQ
캠핑 브이로그 . 극한의 눈보라 속 생존하기 . 폭설 솔로캠핑,1550000,9개월 전,류캠프 RYUCAMP,브이로그,https://i.ytimg.com/vi/Lnxpsa5fW-4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcV5aqzJctDQjtSPRKYs4SJrGVmA
"27살 여자, 인테리어필름 기술배워서 연봉 높이기, 첫현장 브이로그(월 500 벌끄니까~)",1490000,3개월 전,필름하는 정남이,브이로그,https://i.ytimg.com/vi/qGIRXOHu_qU/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBHuL8bZHRsmm_iM2FAAyTGvdwE2Q
"[복학생 vlog] 네이버 신입사원 첫출근 브이로그 (어쩌다출근 섭외환영, 미생 문그래, 임시완, 네이버 취뽀 노하우, 독취사 탈퇴, SWOT 마케팅 전략, 에이스 되기 과자아님)",1470000,10개월 전,빠더너스 BDNS,브이로그,https://i.ytimg.com/vi/QbH-6U7Vlk4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBl3EKNs6O5viPl3qZyIrhQiDjZ3Q
앨범깡 브이로그💜 팬싸컷 채우려고 200장 앨범깡 • 오프깡 • 준등기 • 핫트랙스 • 비트로드,1440000,9개월 전,강유미 yumi kang좋아서 하는 채널,브이로그,https://i.ytimg.com/vi/OsYmH8zrpSw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDc73VMem9diIScAcyDIcYKS0GaRg
